aprobacion_presidencial,edad,word,n
Aprueba,55 o+,dando,4.6298
Aprueba,18-34,mandato,4.62736
Aprueba,55 o+,ve,4.62628
Aprueba,35-54,plata,4.62398
Aprueba,18-34,media,4.62378
Aprueba,35-54,nota,4.56848
Aprueba,55 o+,mejorado,4.53191
Aprueba,55 o+,importante,4.52975
Aprueba,18-34,ayuda,4.52022
Aprueba,35-54,medidas,4.51971
Aprueba,55 o+,reformas,4.5114
Aprueba,55 o+,preocupando,4.4771
Aprueba,35-54,oportunidades,4.44177
Aprueba,18-34,veo,4.3744
Aprueba,35-54,malo,4.3645
Aprueba,35-54,relacion,4.29739
Aprueba,55 o+,apoyo,4.28019
Aprueba,55 o+,ido,4.27403
Aprueba,35-54,importante,4.26315
Aprueba,18-34,mejorar,4.25348
Aprueba,35-54,tranquilidad,4.21347
Aprueba,35-54,dejo,4.18256
Aprueba,18-34,salud,4.17569
Aprueba,55 o+,realidad,4.17501
Aprueba,35-54,laborales,4.14741
Aprueba,55 o+,bachelet,4.13996
Aprueba,35-54,casa,4.07348
Aprueba,35-54,ejecutivo,4.07315
Aprueba,35-54,comparacion,4.06168
Aprueba,55 o+,dejo,4.0515
Aprueba,55 o+,problemas,4.05046
Aprueba,35-54,manejar,4.02565
Aprueba,18-34,realidad,4.02516
Aprueba,55 o+,visto,3.9671
Aprueba,35-54,darle,3.93573
Aprueba,55 o+,malo,3.9245
Aprueba,35-54,sistema,3.92292
Aprueba,18-34,familia,3.91321
Aprueba,55 o+,veo,3.9075
Aprueba,35-54,preocupado,3.8957
Aprueba,35-54,pienso,3.88003
Aprueba,35-54,mejores,3.85899
Aprueba,35-54,personal,3.84763
Aprueba,18-34,tomado,3.84121
Aprueba,55 o+,social,3.83891
Aprueba,18-34,bachelet,3.83318
Aprueba,55 o+,control,3.8146
Aprueba,35-54,beneficio,3.80035
Aprueba,55 o+,tributaria,3.79553
Aprueba,55 o+,piensa,3.79248
Aprueba,18-34,relacion,3.77152
Aprueba,55 o+,cosa,3.76813
Aprueba,55 o+,sacar,3.76042
Aprueba,35-54,publicas,3.75528
Aprueba,18-34,ordenado,3.75277
Aprueba,35-54,cargo,3.75165
Aprueba,35-54,ordenando,3.74217
Aprueba,18-34,sueldos,3.72118
Aprueba,55 o+,serio,3.71811
Aprueba,55 o+,empresario,3.71731
Aprueba,18-34,apoya,3.71137
Aprueba,35-54,lento,3.70514
Aprueba,55 o+,sueldos,3.70074
Aprueba,35-54,unico,3.68883
Aprueba,35-54,pasa,3.68536
Aprueba,18-34,pega,3.68495
Aprueba,55 o+,aumento,3.67147
Aprueba,55 o+,oposicion,3.6636
Aprueba,18-34,nivel,3.65797
Aprueba,35-54,soluciones,3.64719
Aprueba,35-54,partido,3.63432
Aprueba,55 o+,piñera,3.61115
Aprueba,35-54,región,3.59025
Aprueba,35-54,poniendo,3.58551
Aprueba,55 o+,años,3.57228
Aprueba,35-54,laboral,3.56682
Aprueba,18-34,apoyo,3.5542
Aprueba,35-54,tanta,3.55011
Aprueba,35-54,situacion,3.54005
Aprueba,35-54,dura,3.52846
Aprueba,35-54,decision,3.51988
Aprueba,55 o+,apruebo,3.51441
Aprueba,35-54,sebastian,3.47992
Aprueba,35-54,mejora,3.47989
Aprueba,55 o+,campaña,3.45394
Aprueba,35-54,idea,3.44887
Aprueba,35-54,tomando,3.44681
Aprueba,18-34,reactivacion,3.4275
Aprueba,18-34,siento,3.412
Aprueba,35-54,generando,3.40724
Aprueba,55 o+,respetuoso,3.40318
Aprueba,18-34,deuda,3.39481
Aprueba,35-54,area,3.39409
Aprueba,55 o+,tipo,3.39302
Aprueba,35-54,anteriores,3.3908
Aprueba,35-54,inteligente,3.38708
Aprueba,18-34,ayudado,3.37005
Aprueba,55 o+,colegios,3.36406
Aprueba,35-54,mandato,3.34918
Aprueba,18-34,hombre,3.33547
Aprueba,18-34,periodo,3.33192
Aprueba,18-34,situacion,3.32562
Aprueba,55 o+,intentando,3.2971
Aprueba,18-34,beneficios,3.29347
Aprueba,18-34,qe,3.29157
Aprueba,35-54,venezuela,3.28289
Aprueba,35-54,cuerdo,3.25753
Aprueba,18-34,subsidio,3.24452
Aprueba,55 o+,ayude,3.23146
Aprueba,18-34,social,3.22885
Aprueba,55 o+,necesitamos,3.21959
Aprueba,35-54,tratado,3.2164
Aprueba,55 o+,manejo,3.19712
Aprueba,35-54,rapido,3.19568
Aprueba,55 o+,preocupa,3.19377
Aprueba,18-34,publica,3.19283
Aprueba,18-34,salió,3.18195
Aprueba,35-54,desorden,3.17797
Aprueba,35-54,desarrollo,3.15242
Aprueba,18-34,poquito,3.1418
Aprueba,18-34,agilidad,3.13184
Aprueba,55 o+,salga,3.10037
Aprueba,18-34,presidenta,3.09797
Aprueba,18-34,gratuidad,3.09257
Aprueba,18-34,corto,3.08415
Aprueba,35-54,edad,3.04924
Aprueba,55 o+,avanzando,3.03863
Aprueba,18-34,falta,3.03811
Aprueba,35-54,corto,3.03544
Aprueba,55 o+,darle,3.03339
Aprueba,18-34,hospitales,3.02534
Aprueba,55 o+,niños,3.02287
Aprueba,18-34,caso,3.02153
Aprueba,55 o+,gallo,3.01932
Aprueba,55 o+,familia,3.016
Aprueba,35-54,sociales,3.01595
Aprueba,35-54,mejoras,3.01048
Aprueba,18-34,empresario,3.00858
Aprueba,55 o+,decision,3.006
Aprueba,18-34,notado,3.00388
Aprueba,18-34,sociales,3.0005
Aprueba,55 o+,programa,2.98722
Aprueba,35-54,viendo,2.97515
Aprueba,55 o+,atencion,2.97213
Aprueba,55 o+,tomado,2.95782
Aprueba,35-54,llevo,2.94636
Aprueba,55 o+,fuentes,2.9455
Aprueba,55 o+,casa,2.93409
Aprueba,35-54,mercados,2.92714
Aprueba,18-34,mapuche,2.91172
Aprueba,55 o+,laboral,2.90802
Aprueba,35-54,pais,2.88834
Aprueba,55 o+,recien,2.87993
Aprueba,35-54,ordenar,2.87854
Aprueba,35-54,supone,2.86869
Aprueba,55 o+,socialista,2.86666
Aprueba,55 o+,considero,2.85198
Aprueba,18-34,principio,2.84011
Aprueba,35-54,beneficios,2.8329
Aprueba,55 o+,inteligente,2.83162
Aprueba,18-34,considero,2.81999
Aprueba,35-54,comunista,2.81137
Aprueba,35-54,linea,2.81113
Aprueba,35-54,calle,2.80083
Aprueba,55 o+,llevado,2.79232
Aprueba,35-54,familia,2.78723
Aprueba,35-54,cabeza,2.78358
Aprueba,55 o+,camino,2.77841
Aprueba,35-54,recien,2.77701
Aprueba,55 o+,sistema,2.77647
Aprueba,35-54,escuchado,2.77441
Aprueba,18-34,clase,2.76899
Aprueba,35-54,adulto,2.76898
Aprueba,55 o+,equipo,2.76505
Aprueba,35-54,principal,2.75668
Aprueba,18-34,vision,2.75585
Aprueba,35-54,hijos,2.74482
Aprueba,55 o+,aca,2.7276
Aprueba,18-34,escuchado,2.72422
Aprueba,18-34,generar,2.72397
Aprueba,55 o+,empeño,2.72304
Aprueba,18-34,bajado,2.71824
Aprueba,35-54,errores,2.71775
Aprueba,55 o+,gustan,2.71521
Aprueba,55 o+,comercio,2.71494
Aprueba,55 o+,adulto,2.71395
Aprueba,55 o+,po,2.70382
Aprueba,35-54,reactivar,2.70327
Aprueba,35-54,inversionista,2.70077
Aprueba,55 o+,puesto,2.69702
Aprueba,18-34,sector,2.68667
Aprueba,55 o+,ayudar,2.68095
Aprueba,55 o+,intenciones,2.67566
Aprueba,55 o+,preocupado,2.6697
Aprueba,55 o+,esperanza,2.66673
Aprueba,55 o+,cargo,2.66626
Aprueba,35-54,aca,2.66534
Aprueba,55 o+,periodo,2.65855
Aprueba,55 o+,pais,2.63884
Aprueba,55 o+,impulso,2.63534
Aprueba,35-54,cuestión,2.63148
Aprueba,35-54,rico,2.63148
Aprueba,18-34,componente,2.627
Aprueba,18-34,ambito,2.62231
Aprueba,55 o+,digo,2.61594
