aprobacion_presidencial,tendencia,word,n
Aprueba,Ninguno / Independiente,aca,5.78511
Aprueba,Centro,proyecto,5.76694
Aprueba,Centro Derecha / Derecha,edad,5.75093
Aprueba,Centro Derecha / Derecha,decision,5.68037
Aprueba,Ninguno / Independiente,visto,5.67991
Aprueba,Centro,educacion,5.67613
Aprueba,Centro Derecha / Derecha,hombre,5.64576
Aprueba,Centro Derecha / Derecha,periodo,5.61158
Aprueba,Ninguno / Independiente,veo,5.58912
Aprueba,Centro Derecha / Derecha,publicas,5.56427
Aprueba,Ninguno / Independiente,personas,5.54296
Aprueba,Centro Izquierda / Izquierda,educacion,5.46481
Aprueba,Ninguno / Independiente,crecimiento,5.41829
Aprueba,Ninguno / Independiente,aumento,5.38991
Aprueba,Centro Derecha / Derecha,dejo,5.32337
Aprueba,Centro Izquierda / Izquierda,gusta,5.32022
Aprueba,Centro Derecha / Derecha,ayuda,5.29862
Aprueba,Centro Derecha / Derecha,tomado,5.29163
Aprueba,Centro,estabilidad,5.23078
Aprueba,Centro,manejo,5.21229
Aprueba,Centro Derecha / Derecha,reactivacion,5.19793
Aprueba,Ninguno / Independiente,preocupando,5.17857
Aprueba,Centro Derecha / Derecha,adulto,5.14377
Aprueba,Centro Derecha / Derecha,dura,5.14181
Aprueba,Centro Derecha / Derecha,ido,5.11028
Aprueba,Centro Izquierda / Izquierda,cambio,5.022
Aprueba,Centro Derecha / Derecha,niños,5.00436
Aprueba,Centro Derecha / Derecha,gusto,4.983
Aprueba,Centro Derecha / Derecha,laboral,4.96614
Aprueba,Ninguno / Independiente,noticias,4.95631
Aprueba,Ninguno / Independiente,persona,4.91839
Aprueba,Centro Derecha / Derecha,plata,4.90815
Aprueba,Centro Derecha / Derecha,equipo,4.89994
Aprueba,Centro Derecha / Derecha,gustado,4.8615
Aprueba,Centro Derecha / Derecha,nota,4.78079
Aprueba,Centro Derecha / Derecha,ordenado,4.76468
Aprueba,Centro Derecha / Derecha,aca,4.75655
Aprueba,Centro Derecha / Derecha,està,4.7342
Aprueba,Centro Derecha / Derecha,veo,4.72629
Aprueba,Centro Derecha / Derecha,país,4.72624
Aprueba,Centro Derecha / Derecha,comercio,4.71412
Aprueba,Ninguno / Independiente,promesas,4.7031
Aprueba,Centro Derecha / Derecha,preocupado,4.67778
Aprueba,Centro Derecha / Derecha,personal,4.67123
Aprueba,Centro Derecha / Derecha,sector,4.66691
Aprueba,Ninguno / Independiente,opinion,4.66624
Aprueba,Centro Derecha / Derecha,inversiones,4.66338
Aprueba,Centro Derecha / Derecha,malo,4.64919
Aprueba,Centro Derecha / Derecha,mejores,4.64893
Aprueba,Ninguno / Independiente,medidas,4.62665
Aprueba,Centro Derecha / Derecha,arreglar,4.61066
Aprueba,Ninguno / Independiente,estabilidad,4.60472
Aprueba,Centro Izquierda / Izquierda,decision,4.58905
Aprueba,Centro Derecha / Derecha,idea,4.58178
Aprueba,Centro Derecha / Derecha,meses,4.57093
Aprueba,Centro,gestion,4.55418
Aprueba,Centro Derecha / Derecha,vision,4.54058
Aprueba,Centro Derecha / Derecha,linea,4.49223
Aprueba,Centro Derecha / Derecha,serio,4.47169
Aprueba,Centro Derecha / Derecha,tranquilidad,4.46616
Aprueba,Ninguno / Independiente,orden,4.46398
Aprueba,Centro Derecha / Derecha,adultos,4.45435
Aprueba,Centro Derecha / Derecha,principal,4.44555
Aprueba,Centro Izquierda / Izquierda,empleo,4.43179
Aprueba,Ninguno / Independiente,sueldos,4.37781
Aprueba,Ninguno / Independiente,està,4.33737
Aprueba,Centro Derecha / Derecha,empezando,4.32725
Aprueba,Centro Derecha / Derecha,recien,4.31968
Aprueba,Centro Derecha / Derecha,desarrollo,4.29514
Aprueba,Centro Derecha / Derecha,genero,4.29388
Aprueba,Centro,99,4.28486
Aprueba,Centro Derecha / Derecha,tomando,4.2668
Aprueba,Centro Izquierda / Izquierda,chile,4.2661
Aprueba,Centro Derecha / Derecha,poniendo,4.24462
Aprueba,Centro Derecha / Derecha,laborales,4.22844
Aprueba,Centro Derecha / Derecha,mejorando,4.22046
Aprueba,Ninguno / Independiente,mejora,4.17079
Aprueba,Ninguno / Independiente,bachelet,4.15032
Aprueba,Ninguno / Independiente,malo,4.13803
Aprueba,Centro Derecha / Derecha,paso,4.13239
Aprueba,Centro Derecha / Derecha,tanta,4.09886
Aprueba,Centro Derecha / Derecha,casa,4.05121
Aprueba,Centro Derecha / Derecha,dando,4.04162
Aprueba,Ninguno / Independiente,chile,4.02996
Aprueba,Centro Derecha / Derecha,tratado,4.02979
Aprueba,Ninguno / Independiente,preocupa,4.02816
Aprueba,Centro Derecha / Derecha,valores,4.01876
Aprueba,Ninguno / Independiente,apoyo,4.01514
Aprueba,Centro Derecha / Derecha,intentando,4.00125
Aprueba,Centro,reformas,3.98583
Aprueba,Ninguno / Independiente,tanta,3.96436
Aprueba,Ninguno / Independiente,vienen,3.96333
Aprueba,Ninguno / Independiente,empresario,3.96277
Aprueba,Ninguno / Independiente,media,3.96065
Aprueba,Ninguno / Independiente,familiar,3.9405
Aprueba,Centro Derecha / Derecha,cumplir,3.93722
Aprueba,Ninguno / Independiente,forma,3.93571
Aprueba,Ninguno / Independiente,social,3.9308
Aprueba,Centro Derecha / Derecha,apruebo,3.91378
Aprueba,Centro,seguridad,3.91187
Aprueba,Centro Derecha / Derecha,presidenta,3.89655
Aprueba,Centro Derecha / Derecha,preocupando,3.88892
Aprueba,Ninguno / Independiente,lento,3.88849
Aprueba,Centro Derecha / Derecha,publica,3.88718
Aprueba,Centro Derecha / Derecha,malas,3.88662
Aprueba,Ninguno / Independiente,mandato,3.87856
Aprueba,Ninguno / Independiente,rapido,3.86382
Aprueba,Centro Derecha / Derecha,manejar,3.85012
Aprueba,Ninguno / Independiente,niños,3.84625
Aprueba,Centro Derecha / Derecha,control,3.8146
Aprueba,Ninguno / Independiente,carabineros,3.81202
Aprueba,Centro Derecha / Derecha,asunto,3.78372
Aprueba,Centro Derecha / Derecha,propuestas,3.76302
Aprueba,Ninguno / Independiente,region,3.73898
Aprueba,Centro Derecha / Derecha,poquito,3.69071
Aprueba,Centro Derecha / Derecha,independiente,3.68476
Aprueba,Centro,gusta,3.67345
Aprueba,Centro Derecha / Derecha,oposicion,3.6636
Aprueba,Centro Izquierda / Izquierda,orden,3.6338
