zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Regiones,Centro,18-34,Hombre,Aprueba,propuso,1.03602
Regiones,Centro,18-34,Hombre,Aprueba,qe,2.39056
Regiones,Centro,18-34,Hombre,Aprueba,rtpricado,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,secot,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,tosos,1.19528
Regiones,Centro,18-34,Hombre,Aprueba,ubo,1.03602
Regiones,Centro,18-34,Hombre,Desaprueba,99,1.34718
Regiones,Centro,18-34,Hombre,Desaprueba,abajo,1.31207
Regiones,Centro,18-34,Hombre,Desaprueba,actuado,1.0645
Regiones,Centro,18-34,Hombre,Desaprueba,alas,1.31207
Regiones,Centro,18-34,Hombre,Desaprueba,alto,1.01379
Regiones,Centro,18-34,Hombre,Desaprueba,autoritario,1.1715
Regiones,Centro,18-34,Hombre,Desaprueba,cae,2.4426699999999997
Regiones,Centro,18-34,Hombre,Desaprueba,campaña,1.31207
Regiones,Centro,18-34,Hombre,Desaprueba,cerrando,1.39319
Regiones,Centro,18-34,Hombre,Desaprueba,combustibles,1.01379
Regiones,Centro,18-34,Hombre,Desaprueba,concretas,1.136
