aprobacion_presidencial,word,n
Desaprueba,notado,5.21678
Desaprueba,contaminacion,5.21134
Desaprueba,seguir,5.17939
Desaprueba,soluciones,5.14373
Desaprueba,beneficia,5.11398
Desaprueba,caballero,5.07028
Desaprueba,netamente,5.06994
Desaprueba,opinion,5.03566
Desaprueba,candidato,5.02301
Desaprueba,cae,5.00556
Desaprueba,abajo,4.99352
Desaprueba,anteriores,4.98176
Desaprueba,arreglar,4.98067
Desaprueba,prioridad,4.93002
Desaprueba,cerrando,4.91146
Desaprueba,iban,4.89825
Desaprueba,ambientales,4.88688
Desaprueba,chica,4.87974
Desaprueba,màs,4.85633
Desaprueba,propuestas,4.85128
Desaprueba,congreso,4.85006
Desaprueba,publica,4.73205
Desaprueba,apoyo,4.73007
Desaprueba,cree,4.72856
Desaprueba,supuestamente,4.68891
Desaprueba,bachelet,4.68762
Desaprueba,libres,4.67848
Desaprueba,tendencia,4.67322
Desaprueba,favorecen,4.63461
Desaprueba,preocupado,4.63431
Desaprueba,pienso,4.63021
Desaprueba,sector,4.62246
Desaprueba,joven,4.60661
Desaprueba,cuesta,4.57885
Desaprueba,pesima,4.55495
Desaprueba,anuncio,4.52518
Desaprueba,niños,4.48377
Desaprueba,simplemente,4.47681
Desaprueba,crecimiento,4.45141
Desaprueba,mirada,4.43863
Desaprueba,justicia,4.42922
Desaprueba,cero,4.403
Desaprueba,negocios,4.39036
Desaprueba,osea,4.38719
Desaprueba,noticias,4.38117
Desaprueba,trato,4.34882
Desaprueba,palabra,4.34131
Desaprueba,calidad,4.33693
Desaprueba,pense,4.32113
Desaprueba,errores,4.29729
Desaprueba,respeto,4.27811
Desaprueba,rapido,4.27075
Desaprueba,vida,4.26455
Desaprueba,solucionar,4.25258
Desaprueba,vivienda,4.2519
Desaprueba,ofrecio,4.24922
Desaprueba,agrada,4.24103
Desaprueba,hora,4.23254
Desaprueba,populista,4.22784
Desaprueba,conciencia,4.22377
Desaprueba,dejan,4.21327
Desaprueba,representa,4.20289
Desaprueba,estabilidad,4.19368
Desaprueba,libertad,4.19367
Desaprueba,robo,4.17611
Desaprueba,prioridades,4.16231
Desaprueba,sacar,4.13609
Desaprueba,estudiar,4.12896
Desaprueba,arreglan,4.11337
Desaprueba,populismo,4.1123
Desaprueba,sociedad,4.09818
Desaprueba,razon,4.0806
Desaprueba,personal,4.07452
Desaprueba,postura,4.06596
Desaprueba,ambiental,4.05747
Desaprueba,malas,4.04339
Desaprueba,sebastian,3.98601
Desaprueba,litio,3.98119
Desaprueba,condiciones,3.95272
Desaprueba,robos,3.94601
Desaprueba,necesidades,3.93233
Desaprueba,independiente,3.92246
Desaprueba,negocio,3.9192
Desaprueba,parecen,3.91623
Desaprueba,resto,3.90397
Desaprueba,precios,3.90259
Desaprueba,aprobadas,3.89592
Desaprueba,incumplidas,3.88759
Desaprueba,modelo,3.88427
Desaprueba,voto,3.882
Desaprueba,sabido,3.87757
Desaprueba,preocupacion,3.85584
Desaprueba,eleccion,3.84572
Desaprueba,tiempos,3.84571
Desaprueba,esperaba,3.84345
Desaprueba,aspecto,3.84158
Desaprueba,medios,3.83699
Desaprueba,palabras,3.82923
Desaprueba,año,3.81561
Desaprueba,particular,3.80792
Desaprueba,idea,3.79724
Desaprueba,problematicas,3.79283
Desaprueba,cumplidas,3.78667
Desaprueba,posicion,3.7629
Desaprueba,grupos,3.75495
Desaprueba,practica,3.7429
Desaprueba,necesitan,3.72218
Desaprueba,suledos,3.72006
Desaprueba,fuerzas,3.70326
Desaprueba,imagino,3.69549
Desaprueba,cultura,3.69409
Desaprueba,vive,3.68893
Desaprueba,gustado,3.6872
Desaprueba,hospital,3.6787
Desaprueba,ven,3.66254
Desaprueba,nombrar,3.65686
Desaprueba,harta,3.65535
Desaprueba,puerta,3.65248
Desaprueba,libre,3.65186
Desaprueba,vote,3.62576
Desaprueba,demoran,3.6149
Desaprueba,vivo,3.61053
Desaprueba,claras,3.59812
Desaprueba,llego,3.58809
Desaprueba,expectativas,3.57781
Desaprueba,area,3.57605
Desaprueba,sobretodo,3.5642
Desaprueba,hombre,3.54863
Desaprueba,ministerios,3.52404
Desaprueba,privado,3.50222
Desaprueba,interesa,3.49788
Desaprueba,respuesta,3.49275
Desaprueba,enfasis,3.491
Desaprueba,dichos,3.48781
Desaprueba,alumnos,3.47999
Desaprueba,aprueba,3.47819
Desaprueba,razones,3.47172
Desaprueba,preocupan,3.46296
Desaprueba,sacrificio,3.45924
Desaprueba,vision,3.43322
Desaprueba,derecho,3.42279
Desaprueba,cumpla,3.42174
Desaprueba,avances,3.40956
Desaprueba,imagen,3.40918
Desaprueba,principales,3.40747
Desaprueba,cumplen,3.3747
Desaprueba,vista,3.37232
Desaprueba,terminar,3.37156
Desaprueba,pensamiento,3.36844
Desaprueba,unico,3.36543
Desaprueba,mire,3.36217
Desaprueba,control,3.34504
Desaprueba,nacionales,3.33387
Desaprueba,mayores,3.32627
Desaprueba,soquimic,3.32054
Desaprueba,mentiras,3.2975
Desaprueba,iguales,3.29294
Desaprueba,abordado,3.28792
Desaprueba,banco,3.28769
Desaprueba,credibilidad,3.28461
Desaprueba,medioambiental,3.28359
Desaprueba,trabajadora,3.27486
Desaprueba,sale,3.26757
Desaprueba,propuesto,3.24943
Desaprueba,actuado,3.23886
Desaprueba,venta,3.23655
Desaprueba,justos,3.22798
Desaprueba,trate,3.22781
Desaprueba,plan,3.2255
Desaprueba,viene,3.21959
Desaprueba,parecio,3.21223
Desaprueba,hiba,3.20178
Desaprueba,ganancias,3.19939
Desaprueba,director,3.19708
Desaprueba,puestos,3.19708
Desaprueba,conduccion,3.18859
Desaprueba,mayoria,3.18801
Desaprueba,ganar,3.18439
Desaprueba,tratado,3.16547
Desaprueba,ojala,3.15016
Desaprueba,improvisacion,3.14266
Desaprueba,sacan,3.12579
Desaprueba,posibilidad,3.12279
Desaprueba,cantidad,3.11225
Desaprueba,escucha,3.10676
Desaprueba,1er,3.10602
Desaprueba,bodas,3.10602
Desaprueba,cambiaron,3.10602
Desaprueba,letra,3.10602
Desaprueba,oro,3.10602
Desaprueba,diferencias,3.10381
Desaprueba,juvenil,3.10069
Desaprueba,quita,3.06949
Desaprueba,laborales,3.06879
Desaprueba,ultimos,3.06575
Desaprueba,tira,3.06491
Desaprueba,necesarias,3.05406
Desaprueba,mujer,3.05264
Desaprueba,qe,3.0428
Desaprueba,mes,3.03691
Desaprueba,confiable,3.03532
Desaprueba,elegido,3.02621
Desaprueba,avanzado,3.02076
Desaprueba,alomejor,3.02058
Desaprueba,super,3.01844
Desaprueba,semana,3.00576
Desaprueba,actualidad,3.00429
Desaprueba,lenta,2.99925
Desaprueba,tirado,2.98569
Desaprueba,haga,2.98487
Desaprueba,aprobando,2.98471
Desaprueba,generado,2.98198
Desaprueba,hermano,2.97311
Desaprueba,deberia,2.96918
Desaprueba,despiden,2.9678
Desaprueba,yendo,2.96576
Desaprueba,socioeconomico,2.95739
Desaprueba,presupuesto,2.95316
Desaprueba,mejoras,2.94715
Desaprueba,salen,2.94378
Desaprueba,hablar,2.94297
Desaprueba,metido,2.92928
Desaprueba,practicamente,2.92802
Desaprueba,nombre,2.91457
Desaprueba,enfoca,2.90581
Desaprueba,detenido,2.89644
Desaprueba,realizando,2.89311
Desaprueba,ambito,2.8911
Desaprueba,cumplimiento,2.88925
Desaprueba,familiares,2.88764
Desaprueba,capitalista,2.88702
Desaprueba,dificil,2.88067
Desaprueba,avansa,2.87942
Desaprueba,manejando,2.87901
Desaprueba,comercio,2.8713
Desaprueba,experiencia,2.86607
Desaprueba,confianza,2.85916
Desaprueba,rodea,2.85887
Desaprueba,pagan,2.85201
Desaprueba,poblacion,2.83259
Desaprueba,manos,2.82907
Desaprueba,hijo,2.82365
