aprobacion_presidencial,word,n
Aprueba,razon,4.14808
Aprueba,desorden,4.13999
Aprueba,minuto,4.12533
Aprueba,subiendo,4.09319
Aprueba,transparente,4.0823
Aprueba,libre,4.07924
Aprueba,ejecutivo,4.07315
Aprueba,partidos,3.99114
Aprueba,impulso,3.9659
Aprueba,subsidio,3.95144
Aprueba,trabajador,3.94308
Aprueba,cumplir,3.93722
Aprueba,bono,3.91799
Aprueba,cumple,3.89143
Aprueba,quintero,3.85832
Aprueba,comunista,3.84087
Aprueba,camino,3.83881
Aprueba,sabria,3.83731
Aprueba,esperanza,3.82423
Aprueba,grande,3.81228
Aprueba,toma,3.80814
Aprueba,mercado,3.7936
Aprueba,piensa,3.79248
Aprueba,estudiantes,3.78781
Aprueba,viene,3.78391
Aprueba,cree,3.78349
Aprueba,pone,3.74651
Aprueba,cumpliendo,3.72441
Aprueba,pega,3.68495
Aprueba,independiente,3.68476
Aprueba,salir,3.67209
Aprueba,jovenes,3.66441
Aprueba,oposicion,3.6636
Aprueba,reactivar,3.6626
Aprueba,aspecto,3.64774
Aprueba,ingreso,3.59654
Aprueba,región,3.59025
Aprueba,viendo,3.57135
Aprueba,socialista,3.57081
Aprueba,principio,3.56447
Aprueba,errores,3.55555
Aprueba,becas,3.53344
Aprueba,apesar,3.47506
Aprueba,mando,3.46693
Aprueba,haga,3.44901
Aprueba,credibilidad,3.44801
Aprueba,mantenido,3.44795
Aprueba,campo,3.42616
Aprueba,gustan,3.41936
Aprueba,respetuoso,3.40318
Aprueba,deuda,3.39481
Aprueba,excelente,3.38566
Aprueba,ayudado,3.37005
Aprueba,colegios,3.36406
Aprueba,ministro,3.34754
Aprueba,entrevista,3.34647
Aprueba,dejar,3.34222
Aprueba,salio,3.33203
Aprueba,seriedad,3.30999
Aprueba,preparacion,3.307
Aprueba,tomar,3.30673
Aprueba,interesa,3.305
Aprueba,traves,3.30223
Aprueba,indices,3.29672
Aprueba,espera,3.28854
Aprueba,venezuela,3.28289
Aprueba,llevando,3.27175
Aprueba,mayoria,3.26305
Aprueba,ultimos,3.26233
Aprueba,crisis,3.2592
Aprueba,cuerdo,3.25753
Aprueba,mundo,3.23877
Aprueba,ayude,3.23146
Aprueba,pobres,3.22968
Aprueba,digamos,3.22592
Aprueba,necesitamos,3.21959
Aprueba,dirige,3.21225
Aprueba,hartos,3.21051
Aprueba,explicar,3.20187
Aprueba,partidario,3.18695
Aprueba,esfuerzo,3.18287
Aprueba,gracias,3.15268
Aprueba,papeles,3.13914
Aprueba,agilidad,3.13184
Aprueba,decirte,3.12989
Aprueba,ningun,3.12816
Aprueba,confio,3.10652
Aprueba,salga,3.10037
Aprueba,cuentas,3.09118
Aprueba,problema,3.0844
Aprueba,opciones,3.07659
Aprueba,pro,3.06089
Aprueba,ahy,3.05953
Aprueba,avanzando,3.03863
Aprueba,aborto,3.03724
Aprueba,capacidad,3.03266
Aprueba,hospitales,3.02534
Aprueba,caso,3.02153
Aprueba,polìtica,3.01983
Aprueba,gallo,3.01932
Aprueba,subsidios,3.01666
Aprueba,ala,3.00869
Aprueba,solucionar,3.0073
Aprueba,quiero,3.00382
Aprueba,programas,2.99745
Aprueba,atencion,2.97213
Aprueba,embarrada,2.97061
Aprueba,llegando,2.9607
Aprueba,agrada,2.95896
Aprueba,caracter,2.95006
Aprueba,acabando,2.94923
Aprueba,gustaba,2.92939
Aprueba,mercados,2.92714
Aprueba,firme,2.92449
Aprueba,negocios,2.90409
Aprueba,importa,2.85892
Aprueba,posicion,2.85866
Aprueba,deja,2.85299
Aprueba,tendencia,2.85143
Aprueba,dios,2.84355
Aprueba,señora,2.8424
Aprueba,pasan,2.83606
Aprueba,partes,2.82742
Aprueba,alumnos,2.8098
Aprueba,calle,2.80083
Aprueba,cabeza,2.78358
Aprueba,extremista,2.77197
Aprueba,habian,2.75026
Aprueba,finanzas,2.74961
Aprueba,regularizar,2.74601
Aprueba,regiones,2.74516
Aprueba,hijos,2.74482
Aprueba,sacando,2.74428
Aprueba,voto,2.73087
Aprueba,reactivando,2.72728
Aprueba,quieren,2.72449
Aprueba,empeño,2.72304
Aprueba,asuntos,2.72291
Aprueba,bajado,2.71824
Aprueba,bastantes,2.70996
Aprueba,comentarios,2.70147
Aprueba,inversionista,2.70077
Aprueba,vivienda,2.65204
Aprueba,estudios,2.63538
Aprueba,araucania,2.63265
Aprueba,cuestión,2.63148
Aprueba,rico,2.63148
Aprueba,componente,2.627
Aprueba,nuevamente,2.62307
Aprueba,cosas,2.62215
Aprueba,digo,2.61594
Aprueba,mira,2.61065
Aprueba,encontre,2.61003
Aprueba,ladrones,2.59849
Aprueba,escucha,2.59386
Aprueba,reconoce,2.58966
Aprueba,normal,2.58944
Aprueba,subio,2.58788
Aprueba,postura,2.58657
Aprueba,enfrentado,2.57058
Aprueba,golpe,2.56899
Aprueba,trato,2.56754
Aprueba,seria,2.56247
Aprueba,candidatos,2.55619
Aprueba,ayudando,2.54762
Aprueba,ejecutado,2.54686
Aprueba,minera,2.53621
Aprueba,artas,2.52891
Aprueba,funcionando,2.52794
Aprueba,recursos,2.52207
Aprueba,puntos,2.52205
Aprueba,iguales,2.5205
Aprueba,sobretodo,2.51952
Aprueba,avanzado,2.51704
Aprueba,corrupcion,2.51227
Aprueba,contaminacion,2.51057
Aprueba,sectores,2.49904
Aprueba,respeto,2.4921
Aprueba,hagan,2.48642
Aprueba,mantiene,2.47871
Aprueba,policiales,2.47393
Aprueba,ciudadanos,2.46952
Aprueba,harto,2.46819
Aprueba,asiendo,2.46633
Aprueba,mala,2.45758
Aprueba,llevan,2.44228
Aprueba,diciplina,2.43875
Aprueba,obviamente,2.43723
Aprueba,gane,2.4332
Aprueba,siente,2.43083
Aprueba,facilidades,2.42372
Aprueba,percepcion,2.41468
Aprueba,correcto,2.41429
Aprueba,gustando,2.407
Aprueba,actual,2.39742
Aprueba,acá,2.3935
Aprueba,realizando,2.37559
Aprueba,altiro,2.37433
Aprueba,planes,2.37271
Aprueba,preocupacion,2.36942
Aprueba,tranquilo,2.35934
Aprueba,resolver,2.35771
Aprueba,implementando,2.35382
Aprueba,vivimos,2.35241
Aprueba,simplemente,2.35066
Aprueba,enfocado,2.34476
Aprueba,puestos,2.34231
Aprueba,razones,2.33669
Aprueba,viviendas,2.33204
Aprueba,encuentra,2.32534
Aprueba,apertura,2.32079
Aprueba,ordenamiento,2.31779
Aprueba,interes,2.31547
Aprueba,gratis,2.3146
Aprueba,ingresos,2.31409
Aprueba,pensamientos,2.31237
Aprueba,manejando,2.31222
